freshwater_id;originalname;othernames;flag;lat;lon;country;ICES_GUID;ICES_key;ICES_GUID_duplicate;
;81;;what is this;;;;;;;
;83;;what is this;;;;;;;
;Hanshäger Bach;;Hanshagener?;54.0322364;13.4988353;Germany;;;;
;Harisoja;;;65.3798162;25.4378739;Finland;aebcbbff-2a32-46e1-b6db-6dcd0ba59a16;FI84122;;
;Harjajuova - Pinkjärvi;;;61.295896;21.711111;Finland;9458f2b4-83b5-4888-8ad3-e28c762d1d44;FI83027;;
;Harkenbaek;;;53.9417102;10.9589636;Germany;;;;
;Harku oja;;;59.4245533;24.5177758;Estonia;;;;
;Harmångersån;;;61.9144595;17.2556179;Sweden;27c634c5-50ef-412d-b1ec-fdeae3a498e6;SE44000;;
;Harrestrup Å;;;55.708313;12.4342502;Denmark;e3be28fa-e021-4100-93fc-3a5895aa8b74;DK0215;;
;Harrijoki;;;;;Sweden;;;;
;Harrström;;;62.7255184;21.1813769;Finland;f3d1d9d4-2cd8-49e2-9d32-2a273bb20386;FI83102;;
;Haubach;;;54.1831821;12.386547;Germany;;;;
;Havnelevrende;;;;;;349aa0bd-0919-4b38-8757-5fb3c56ecc70;DK0515;;
;Havskov Bæk;;;56.2725549;10.3417476;Denmark;1e76958e-33e4-4b4f-b3af-042a4e2bf828;DK1324;;
;Heilsau;;;53.8301682;10.4839385;Germany;;;;
;Helge å;;;56.3511994;14.0389197;Sweden;bcc3e535-69f4-465b-93db-6d3694f50431;SE88000;;
;Hellbach;;;;;;;;;
;Hellbach;;;;;;;;;
;Hellebjerg Bæk;;;;;;f04d8d3e-a455-4f16-92ae-3b954ec3955c;DK1228;;
;Hepojoki - Makarlanjoki;;;60.426637;22.528887;Finland;eb9e5185-ce97-407d-96ab-aa4ab754e2d5;FI82040;;
;Hernespuu oja;;;58.4110162;22.1056279;Estonia;;;;
;Hestehaveløbet;;;;;;15749e20-70ac-4aa1-99ea-1330ac419803;DK0723;;
;Hietajoki;;;64.6742745;30.067318;Finland;;;;
;Hiitolanjoki;;;61.43936415;29.33876128;Finland;83445624-725e-4105-ba56-e918977db76e;FI03000;;
;Himanganjoki;;;64.16448;23.68841;Finland;2c08755f-278d-4252-92f5-f7324dc16629;FI84069;;
;Himleån;;;57.1316703;12.4129763;Sweden;2c05f9fa-01e2-4235-b266-0ac650225db1;SE104000;;
;Hirvijoki;;;60.633049;22.1631575;Finland;69d7d717-6eb9-4a24-9238-d6a87a5dcc02;FI29000;;
;Hiuknummenoja;;;61.18713;21.53377;Finland;a0614e72-c10c-482b-aa15-5414e7c38a34;FI83019;;
